population,median_income,poverty_pop,NAME,state,county,tract,geoid
4542.0,87478.0,733.0,Census Tract 2211; Cook County; Illinois,17,31,221100,17031221100
2865.0,128243.0,386.0,Census Tract 2212; Cook County; Illinois,17,31,221200,17031221200
3011.0,81264.0,680.0,Census Tract 2213; Cook County; Illinois,17,31,221300,17031221300
3083.0,104583.0,181.0,Census Tract 2214; Cook County; Illinois,17,31,221400,17031221400
2767.0,62500.0,497.0,Census Tract 2215; Cook County; Illinois,17,31,221500,17031221500
3389.0,135236.0,192.0,Census Tract 2216; Cook County; Illinois,17,31,221600,17031221600
2243.0,184727.0,83.0,Census Tract 2222; Cook County; Illinois,17,31,222200,17031222200
1468.0,147582.0,129.0,Census Tract 2225; Cook County; Illinois,17,31,222500,17031222500
1608.0,90313.0,103.0,Census Tract 2226; Cook County; Illinois,17,31,222600,17031222600
2202.0,80391.0,423.0,Census Tract 2227; Cook County; Illinois,17,31,222700,17031222700
1052.0,84239.0,227.0,Census Tract 2228; Cook County; Illinois,17,31,222800,17031222800
986.0,100847.0,24.0,Census Tract 2229; Cook County; Illinois,17,31,222900,17031222900
1636.0,90833.0,384.0,Census Tract 2301; Cook County; Illinois,17,31,230100,17031230100
1977.0,72083.0,175.0,Census Tract 2302; Cook County; Illinois,17,31,230200,17031230200
905.0,58696.0,100.0,Census Tract 2303; Cook County; Illinois,17,31,230300,17031230300
2116.0,51495.0,526.0,Census Tract 2304; Cook County; Illinois,17,31,230400,17031230400
3080.0,28413.0,755.0,Census Tract 2305; Cook County; Illinois,17,31,230500,17031230500
8977.0,55304.0,1141.0,Census Tract 2306; Cook County; Illinois,17,31,230600,17031230600
5773.0,32576.0,2831.0,Census Tract 2307; Cook County; Illinois,17,31,230700,17031230700
1029.0,68485.0,193.0,Census Tract 2308; Cook County; Illinois,17,31,230800,17031230800
4903.0,70926.0,1044.0,Census Tract 2309; Cook County; Illinois,17,31,230900,17031230900
1362.0,60333.0,281.0,Census Tract 2311; Cook County; Illinois,17,31,231100,17031231100
5957.0,39917.0,2278.0,Census Tract 2312; Cook County; Illinois,17,31,231200,17031231200
5809.0,37237.0,1694.0,Census Tract 2315; Cook County; Illinois,17,31,231500,17031231500
1966.0,166458.0,59.0,Census Tract 2402; Cook County; Illinois,17,31,240200,17031240200
1272.0,161125.0,84.0,Census Tract 2403; Cook County; Illinois,17,31,240300,17031240300
2515.0,171962.0,126.0,Census Tract 2405; Cook County; Illinois,17,31,240500,17031240500
1639.0,157938.0,250.0,Census Tract 2406; Cook County; Illinois,17,31,240600,17031240600
1634.0,102102.0,246.0,Census Tract 2407; Cook County; Illinois,17,31,240700,17031240700
1480.0,130278.0,154.0,Census Tract 2408; Cook County; Illinois,17,31,240800,17031240800
1093.0,76429.0,58.0,Census Tract 2409; Cook County; Illinois,17,31,240900,17031240900
1792.0,90185.0,227.0,Census Tract 2410; Cook County; Illinois,17,31,241000,17031241000
3650.0,92927.0,447.0,Census Tract 2411; Cook County; Illinois,17,31,241100,17031241100
1698.0,131875.0,179.0,Census Tract 2412; Cook County; Illinois,17,31,241200,17031241200
1888.0,167292.0,188.0,Census Tract 2413; Cook County; Illinois,17,31,241300,17031241300
5584.0,178434.0,304.0,Census Tract 2414; Cook County; Illinois,17,31,241400,17031241400
2823.0,173393.0,175.0,Census Tract 2415; Cook County; Illinois,17,31,241500,17031241500
3397.0,111458.0,255.0,Census Tract 2416; Cook County; Illinois,17,31,241600,17031241600
4378.0,145583.0,240.0,Census Tract 2420; Cook County; Illinois,17,31,242000,17031242000
3817.0,179015.0,348.0,Census Tract 2421; Cook County; Illinois,17,31,242100,17031242100
4014.0,164025.0,165.0,Census Tract 2422; Cook County; Illinois,17,31,242200,17031242200
3805.0,104397.0,165.0,Census Tract 2423; Cook County; Illinois,17,31,242300,17031242300
2705.0,103095.0,173.0,Census Tract 2424; Cook County; Illinois,17,31,242400,17031242400
3255.0,81875.0,384.0,Census Tract 2425; Cook County; Illinois,17,31,242500,17031242500
5512.0,79583.0,1251.0,Census Tract 2426; Cook County; Illinois,17,31,242600,17031242600
1837.0,61964.0,325.0,Census Tract 2427; Cook County; Illinois,17,31,242700,17031242700
1450.0,139500.0,62.0,Census Tract 2428; Cook County; Illinois,17,31,242800,17031242800
2032.0,143750.0,108.0,Census Tract 2429; Cook County; Illinois,17,31,242900,17031242900
2223.0,113125.0,107.0,Census Tract 2430; Cook County; Illinois,17,31,243000,17031243000
